id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
750438,"Private room, 7 min to subway, verdant & peaceful",3945438,Lisa,,Jamaica Plain,42.30733,-71.11129,Private room,65,2,199,2020-2-3,2.44,2,75
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28588,-71.12491,Private room,50,2,142,2019-7-27,2.63,1,355
771309,Room for rent in shared apartment,239850,Theodore,,Dorchester,42.30805,-71.04966,Private room,59,91,2,2019-9-19,0.03,1,164
798957,‚ò?-Story‚òÖWalkScore95 ‚ò?1200ft¬≤ ‚ò?2 Baths,1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,347,3,408,2020-2-9,4.95,4,62
801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,8229,Terry,,Roxbury,42.32852,-71.09539,Entire home/apt,169,3,55,2020-1-20,0.63,6,136
801722,$79 Special!!  Minutes to Center!  Private Space,8229,Terry,,Roxbury,42.32819,-71.09405,Entire home/apt,149,3,54,2019-10-17,0.62,6,181
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,,Downtown,42.3558,-71.06104,Entire home/apt,275,2,77,2020-1-2,0.93,2,43
826706,Private Room in Spacious Apartment3,1997048,ToRena,,Dorchester,42.29996,-71.0806,Private room,79,91,7,2015-9-29,0.09,4,364
839265,Private Room in Spacious Apartment2,1997048,ToRena,,Dorchester,42.29822,-71.07621,Private room,61,91,26,2019-9-30,0.3,4,317
849408,"Perfect & Practical Boston Rental (1,000+ sqft)",4434391,Damon,,Roslindale,42.28882,-71.13951,Entire home/apt,239,4,149,2019-11-4,2,3,240
863788,2BR. Heart of South End. Walk everywhere!,775932,Andy & Daljit,,South End,42.34367,-71.0708,Entire home/apt,385,2,9,2020-1-1,0.11,1,10
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,North End,42.36853,-71.05363,Entire home/apt,125,2,403,2020-1-23,4.79,1,127
894539,Private room in house,4762495,Jennifer,,Roslindale,42.2909,-71.13024,Private room,90,2,59,2020-1-31,0.77,2,249
962610,Convenient Boston Hotel Alternative,4434391,Damon,,West Roxbury,42.29053,-71.14106,Entire home/apt,119,3,91,2019-11-21,1.14,3,147
973695,"Boston Center, Sleeps 1 to 4 people",1760577,Claire,,Downtown,42.35929,-71.06086,Entire home/apt,250,91,60,2019-11-3,0.77,1,365
989163,"Central, Modern & Peaceful with Scenic Views",5430185,Laura And Olivia,,South End,42.34308,-71.07316,Entire home/apt,170,3,49,2020-2-2,0.62,7,134
990668,‚úîArlington‚úîSkydeck ‚úîWalk Score 95‚úîFull Kitchen,1651480,Edward,,South End,42.34232,-71.07595,Private room,156,3,289,2020-2-11,3.54,4,181
1009275,Urban Treehouse,868067,Laura,,South Boston,42.33269,-71.04536,Private room,120,1,84,2020-1-19,2.36,2,307
1038465,HANCOCK TOWER/COPLEY ROOM,85770,Robert,,South End,42.34644,-71.07481,Private room,140,2,257,2020-1-3,3.08,5,23
1042420,"Easy access to Airport, Downtown, Seaport. Fenway",5715872,Joan And Charlotte,,East Boston,42.38362,-71.02023,Entire home/apt,170,2,87,2018-11-16,1.08,1,165
1055627,Spacious 1 bdrm in Beacon Hill ,4299002,Lauren,,Beacon Hill,42.36076,-71.06399,Entire home/apt,125,91,8,2018-9-9,0.1,2,0
1058448,Private room in Boston,3920014,Patti And Javier,,Jamaica Plain,42.31218,-71.10473,Private room,80,1,40,2019-10-20,0.48,1,355
